2025-09-07T22:02:30.4852951-03:00 [Wander] AgentA New target: (294.48444, 302.8648)
2025-09-07T22:02:30.5385841-03:00 [Wander] AgentA pos=(204.5098, 204.9098) dist=133,00609
2025-09-07T22:02:30.5394277-03:00 [Wander] AgentA pos=(209.01959, 209.81961) dist=126,33942
2025-09-07T22:02:30.5399342-03:00 [Wander] AgentA pos=(213.52939, 214.72942) dist=119,672745
2025-09-07T22:02:30.5403937-03:00 [Wander] AgentA pos=(218.03918, 219.63922) dist=113,00608
2025-09-07T22:02:30.5409093-03:00 [Wander] AgentA pos=(222.54898, 224.54903) dist=106,33942
2025-09-07T22:02:30.5414098-03:00 [Wander] AgentA pos=(227.05878, 229.45883) dist=99,672745
2025-09-07T22:02:30.5510950-03:00 [Wander] AgentA pos=(231.56857, 234.36864) dist=93,00608
2025-09-07T22:02:30.5744785-03:00 [Wander] AgentA pos=(236.07837, 239.27844) dist=86,33941
2025-09-07T22:02:30.5930513-03:00 [Wander] AgentA pos=(240.58817, 244.18825) dist=79,67275
2025-09-07T22:02:30.6067718-03:00 [Wander] AgentA pos=(245.09798, 249.09804) dist=73,00608
2025-09-07T22:02:30.6229813-03:00 [Wander] AgentA pos=(249.60779, 254.00784) dist=66,3394
2025-09-07T22:02:30.6390825-03:00 [Wander] AgentA pos=(254.11758, 258.91763) dist=59,67275
2025-09-07T22:02:30.6557195-03:00 [Wander] AgentA pos=(258.62738, 263.82742) dist=53,006092
2025-09-07T22:02:30.6725176-03:00 [Wander] AgentA pos=(263.13718, 268.7372) dist=46,339436
2025-09-07T22:02:30.6889944-03:00 [Wander] AgentA pos=(267.64697, 273.647) dist=39,67278
2025-09-07T22:02:30.7101887-03:00 [Wander] AgentA pos=(272.15677, 278.5568) dist=33,006126
2025-09-07T22:02:30.7243337-03:00 [Wander] AgentA pos=(276.66656, 283.46658) dist=26,339468
2025-09-07T22:02:30.7431573-03:00 [Wander] AgentA pos=(281.17636, 288.37637) dist=19,672813
2025-09-07T22:02:30.7571691-03:00 [Wander] AgentA pos=(285.68616, 293.28616) dist=13,006157
2025-09-07T22:02:30.7734675-03:00 [Wander] AgentA pos=(290.19595, 298.19595) dist=6,3395014
2025-09-07T22:02:30.8073536-03:00 [Wander] AgentA New target: (1027.8372, 387.22208)
2025-09-07T22:02:30.8235646-03:00 [Wander] AgentA pos=(296.8146, 298.99475) dist=736,3274
2025-09-07T22:02:30.8402067-03:00 [Wander] AgentA pos=(303.43326, 299.79355) dist=729,66077
2025-09-07T22:02:30.8601173-03:00 [Wander] AgentA pos=(310.05188, 300.59235) dist=722,9941
2025-09-07T22:02:30.8769491-03:00 [Wander] AgentA pos=(316.67053, 301.39114) dist=716,3274
2025-09-07T22:02:30.8910281-03:00 [Wander] AgentA pos=(323.28918, 302.18994) dist=709,6607
2025-09-07T22:02:30.9061084-03:00 [Wander] AgentA pos=(329.90784, 302.98874) dist=702,994
2025-09-07T22:02:30.9241334-03:00 [Wander] AgentA pos=(336.5265, 303.78754) dist=696,32733
2025-09-07T22:02:30.9402751-03:00 [Wander] AgentA pos=(343.14514, 304.58633) dist=689,66064
2025-09-07T22:02:30.9571607-03:00 [Wander] AgentA pos=(349.7638, 305.38513) dist=682,99396
2025-09-07T22:02:30.9728859-03:00 [Wander] AgentA pos=(356.38245, 306.18393) dist=676,32733
2025-09-07T22:02:30.9904101-03:00 [Wander] AgentA pos=(363.00107, 306.98273) dist=669,66064
2025-09-07T22:02:31.0097562-03:00 [Wander] AgentA pos=(369.6197, 307.78152) dist=662,994
2025-09-07T22:02:31.0268286-03:00 [Wander] AgentA pos=(376.2383, 308.58032) dist=656,3274
2025-09-07T22:02:31.0407756-03:00 [Wander] AgentA pos=(382.85693, 309.37912) dist=649,6607
2025-09-07T22:02:31.0603634-03:00 [Wander] AgentA pos=(389.4756, 310.17792) dist=642,994
2025-09-07T22:02:31.0773511-03:00 [Wander] AgentA pos=(396.09424, 310.9767) dist=636,32733
2025-09-07T22:02:31.0902113-03:00 [Wander] AgentA pos=(402.7129, 311.7755) dist=629,66064
2025-09-07T22:02:31.1103657-03:00 [Wander] AgentA pos=(409.33154, 312.5743) dist=622,99396
2025-09-07T22:02:31.1240051-03:00 [Wander] AgentA pos=(415.9502, 313.3731) dist=616,3273
2025-09-07T22:02:31.1439017-03:00 [Wander] AgentA pos=(422.56885, 314.1719) dist=609,6606
2025-09-07T22:02:31.1608765-03:00 [Wander] AgentA pos=(429.1875, 314.9707) dist=602,9939
2025-09-07T22:02:31.1748884-03:00 [Wander] AgentA pos=(435.80615, 315.7695) dist=596,3273
2025-09-07T22:02:31.1904577-03:00 [Wander] AgentA pos=(442.42477, 316.5683) dist=589,6606
2025-09-07T22:02:31.2076628-03:00 [Wander] AgentA pos=(449.0434, 317.3671) dist=582,99396
2025-09-07T22:02:31.2242636-03:00 [Wander] AgentA pos=(455.66202, 318.1659) dist=576,32733
2025-09-07T22:02:31.2400666-03:00 [Wander] AgentA pos=(462.28064, 318.9647) dist=569,66064
2025-09-07T22:02:31.2571634-03:00 [Wander] AgentA pos=(468.89926, 319.7635) dist=562,99396
2025-09-07T22:02:31.2736174-03:00 [Wander] AgentA pos=(475.51788, 320.5623) dist=556,32733
2025-09-07T22:02:31.2941746-03:00 [Wander] AgentA pos=(482.13654, 321.36108) dist=549,66064
2025-09-07T22:02:31.3105134-03:00 [Wander] AgentA pos=(488.7552, 322.15988) dist=542,99396
2025-09-07T22:02:31.3236761-03:00 [Wander] AgentA pos=(495.37384, 322.95868) dist=536,3273
2025-09-07T22:02:31.3282755-03:00 [GameController] Spawned pickup (special=False) at (1198.6815, 560.39624)
2025-09-07T22:02:31.3299052-03:00 [GameController] Spawned pickup (special=False) at (380.5978, 559.98486)
2025-09-07T22:02:31.3440892-03:00 [Wander] AgentA pos=(501.9925, 323.75748) dist=529,66064
2025-09-07T22:02:31.3604980-03:00 [Wander] AgentA pos=(508.6111, 324.55627) dist=522,994
2025-09-07T22:02:31.3612180-03:00 [SeekPickup] AgentA -> target at (380.5978, 559.98486)
2025-09-07T22:02:31.3740479-03:00 [Wander] AgentA pos=(515.22974, 325.35507) dist=516,32733
2025-09-07T22:02:31.3746222-03:00 [SeekPickup] AgentA pos=(511.91177, 331.13742) dist=263,8456
2025-09-07T22:02:31.3897174-03:00 [Wander] AgentA pos=(518.53937, 331.85788) dist=512,2982
2025-09-07T22:02:31.3902007-03:00 [SeekPickup] AgentA pos=(515.08984, 337.5627) dist=259,92252
2025-09-07T22:02:31.4072675-03:00 [Wander] AgentA pos=(521.72546, 338.20538) dist=508,47977
2025-09-07T22:02:31.4077013-03:00 [SeekPickup] AgentA pos=(518.14636, 343.82983) dist=256,20813
2025-09-07T22:02:31.4228859-03:00 [Wander] AgentA pos=(524.789, 344.39536) dist=504,8679
2025-09-07T22:02:31.4233639-03:00 [SeekPickup] AgentA pos=(521.0827, 349.93683) dist=252,6978
2025-09-07T22:02:31.4399863-03:00 [Wander] AgentA pos=(527.7314, 350.42603) dist=501,4576
2025-09-07T22:02:31.4405277-03:00 [SeekPickup] AgentA pos=(523.9006, 355.88214) dist=249,38644
